"DATE","state","land_rig_count"
2017-05-26,"Alabama",3
2017-06-02,"Alabama",3
2017-06-09,"Alabama",3
2017-06-16,"Alabama",3
2017-06-23,"Alabama",3
2017-06-30,"Alabama",3
2017-07-07,"Alabama",3
2017-07-14,"Alabama",3
2017-07-21,"Alabama",2
2017-07-28,"Alabama",2
2017-08-04,"Alabama",2
2017-08-11,"Alabama",2
2017-08-18,"Alabama",2
2017-08-25,"Alabama",2
2017-09-01,"Alabama",2
2017-09-08,"Alabama",1
2017-09-15,"Alabama",1
2017-09-22,"Alabama",2
2017-09-29,"Alabama",2
2017-10-06,"Alabama",2
2017-10-13,"Alabama",2
